epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3422.79,1.91955,2.38664,1.67696,0.28795,0.28127,0.20546,0.0947,1.72179,8.34662,1.4671,0.00870167,0.00870167,0.00870167
43,3504.14,1.9385,2.37514,1.65948,0.31907,0.27112,0.22038,0.10165,1.70279,6.97869,1.44556,0.00867,0.00867,0.00867
44,3586.28,1.91842,2.37731,1.65781,0.3307,0.2494,0.2059,0.09546,1.71186,6.75561,1.46323,0.00863833,0.00863833,0.00863833
45,3666.35,1.90321,2.3645,1.66046,0.33269,0.27266,0.22181,0.10302,1.70337,7.13104,1.44818,0.00860667,0.00860667,0.00860667
46,3746.76,1.87242,2.32921,1.63456,0.32185,0.26275,0.21649,0.10023,1.73205,6.47403,1.47289,0.008575,0.008575,0.008575
47,3826.04,1.90813,2.35143,1.64731,0.31017,0.27868,0.20989,0.09821,1.69,7.40434,1.44307,0.00854333,0.00854333,0.00854333
48,3907.27,1.87901,2.3317,1.64212,0.34126,0.29218,0.22941,0.108,1.67334,6.27095,1.42465,0.00851167,0.00851167,0.00851167
49,3987.58,1.8677,2.339,1.6386,0.34345,0.27875,0.22053,0.10098,1.70816,6.85502,1.45473,0.00848,0.00848,0.00848
50,4069.06,1.85615,2.31758,1.62411,0.33017,0.30275,0.22431,0.10391,1.68939,6.69893,1.45553,0.00844833,0.00844833,0.00844833
51,4150.53,1.86078,2.29568,1.63011,0.33151,0.28362,0.2239,0.10374,1.67758,6.84345,1.44539,0.00841667,0.00841667,0.00841667
52,4232.4,1.85376,2.30194,1.62426,0.33489,0.27666,0.22332,0.10635,1.6959,6.81581,1.45314,0.008385,0.008385,0.008385
53,4313.4,1.84326,2.26493,1.61083,0.33363,0.29754,0.22927,0.10799,1.68287,6.63714,1.44118,0.00835333,0.00835333,0.00835333
54,4395.05,1.83697,2.25582,1.61181,0.31352,0.31739,0.22383,0.10572,1.68775,7.14289,1.44243,0.00832167,0.00832167,0.00832167
55,4476.18,1.82906,2.25718,1.60803,0.35237,0.29537,0.23983,0.11253,1.70033,7.47131,1.45008,0.00829,0.00829,0.00829
56,4556.96,1.83108,2.2535,1.61072,0.34199,0.29673,0.23927,0.11517,1.6814,6.44856,1.44885,0.00825833,0.00825833,0.00825833
