epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7107.82,1.56931,2.30764,1.49083,0.40609,0.33842,0.30475,0.15091,1.20599,6.24366,1.14866,0.00918851,0.00918851,0.00918851
43,7274.2,1.55826,2.30589,1.48811,0.40224,0.34721,0.30501,0.15309,1.19902,6.47151,1.14293,0.00916872,0.00916872,0.00916872
44,7438.81,1.56102,2.3,1.48438,0.40866,0.34051,0.30852,0.15314,1.19635,6.41887,1.14381,0.00914893,0.00914893,0.00914893
45,7605.96,1.55776,2.28294,1.47615,0.41232,0.34844,0.3117,0.15536,1.1941,6.46466,1.13857,0.00912913,0.00912913,0.00912913
46,7772.89,1.55809,2.29509,1.47266,0.41093,0.35193,0.31637,0.15829,1.18859,6.62888,1.13412,0.00910934,0.00910934,0.00910934
47,7940.37,1.55198,2.27546,1.47009,0.407,0.35338,0.31426,0.15731,1.18815,6.5113,1.13058,0.00908955,0.00908955,0.00908955
48,8106.63,1.54494,2.2825,1.47387,0.40306,0.35537,0.31561,0.15867,1.18377,6.57668,1.13317,0.00906976,0.00906976,0.00906976
49,8272.99,1.53946,2.26904,1.46389,0.4045,0.35817,0.31696,0.15857,1.1888,6.43576,1.13403,0.00904996,0.00904996,0.00904996
50,8442.3,1.54939,2.25902,1.46568,0.40518,0.35869,0.31847,0.15991,1.18848,6.49519,1.13179,0.00903017,0.00903017,0.00903017
51,8609.05,1.54828,2.27037,1.47632,0.39902,0.36851,0.3224,0.16228,1.17924,6.72783,1.12956,0.00901038,0.00901038,0.00901038
52,8776.32,1.53984,2.25139,1.46211,0.4101,0.3668,0.32292,0.16319,1.17516,6.67638,1.12675,0.00899059,0.00899059,0.00899059
53,8943.52,1.54668,2.25768,1.46621,0.40512,0.36256,0.3238,0.16322,1.17553,6.79082,1.12322,0.0089708,0.0089708,0.0089708
54,9110.49,1.5295,2.23965,1.44993,0.41204,0.36304,0.32649,0.16481,1.17797,6.8421,1.12243,0.008951,0.008951,0.008951
55,9276,1.53,2.22532,1.45603,0.40822,0.3655,0.32897,0.16717,1.17203,6.84102,1.1203,0.00893121,0.00893121,0.00893121
56,9443.74,1.52904,2.23047,1.45235,0.42701,0.36836,0.33382,0.16891,1.16863,6.67246,1.11819,0.00891142,0.00891142,0.00891142
57,9612.67,1.53023,2.24226,1.45264,0.42357,0.36828,0.33471,0.16983,1.17072,6.68814,1.11891,0.00889163,0.00889163,0.00889163
58,9781.36,1.53165,2.22577,1.4518,0.4313,0.36959,0.3359,0.17097,1.17063,6.49431,1.11838,0.00887183,0.00887183,0.00887183
59,9948.86,1.52852,2.20345,1.44873,0.43045,0.36762,0.33796,0.17173,1.17019,6.44475,1.11732,0.00885204,0.00885204,0.00885204
60,10117.3,1.5224,2.21751,1.45017,0.44081,0.36584,0.33906,0.17208,1.16745,6.74035,1.11494,0.00883225,0.00883225,0.00883225
61,10285,1.52341,2.20006,1.44044,0.44245,0.36926,0.3404,0.17298,1.16554,6.81755,1.11364,0.00881246,0.00881246,0.00881246
62,10454.7,1.50599,2.18829,1.43481,0.43804,0.3725,0.34171,0.17367,1.16458,6.74907,1.11303,0.00879266,0.00879266,0.00879266
63,10623.4,1.515,2.18735,1.43705,0.44025,0.37061,0.34229,0.17351,1.16451,6.75696,1.11333,0.00877287,0.00877287,0.00877287
64,10792.4,1.51702,2.19616,1.44073,0.4401,0.37248,0.34371,0.1737,1.16463,6.73047,1.11401,0.00875308,0.00875308,0.00875308
65,10960.2,1.51397,2.18706,1.44187,0.4467,0.36937,0.34457,0.17397,1.16445,6.65294,1.11268,0.00873329,0.00873329,0.00873329
66,11129.9,1.50579,2.17864,1.43211,0.44553,0.37132,0.34494,0.17455,1.16312,6.77387,1.11093,0.00871349,0.00871349,0.00871349
67,11300.2,1.50209,2.17753,1.42698,0.4356,0.37428,0.34301,0.17566,1.16051,6.8027,1.10873,0.0086937,0.0086937,0.0086937
68,11469.4,1.50655,2.17489,1.42985,0.44102,0.3734,0.34511,0.17657,1.16078,6.7834,1.10779,0.00867391,0.00867391,0.00867391
69,11637.6,1.49423,2.15597,1.42537,0.44087,0.37361,0.34468,0.17663,1.16149,6.85924,1.10757,0.00865412,0.00865412,0.00865412
70,11806.5,1.49363,2.14242,1.43137,0.43854,0.37612,0.34449,0.17672,1.16099,6.83115,1.10816,0.00863432,0.00863432,0.00863432
71,11975.6,1.49499,2.14947,1.42383,0.44202,0.37695,0.34553,0.17734,1.15883,6.83466,1.10746,0.00861453,0.00861453,0.00861453
72,12145.1,1.49609,2.14736,1.42594,0.44408,0.37531,0.34611,0.17783,1.15652,6.84768,1.1051,0.00859474,0.00859474,0.00859474
73,12315.3,1.50418,2.15847,1.42159,0.439,0.37825,0.34618,0.17792,1.1556,6.85434,1.10422,0.00857495,0.00857495,0.00857495
74,12481.7,1.50196,2.1554,1.42349,0.43627,0.37974,0.34692,0.17797,1.15398,6.88992,1.10351,0.00855515,0.00855515,0.00855515
75,12647,1.48419,2.12603,1.41056,0.44032,0.377,0.34632,0.1787,1.1531,6.87818,1.10253,0.00853536,0.00853536,0.00853536
76,12815.5,1.49018,2.13404,1.41895,0.43685,0.37995,0.34708,0.17931,1.15198,6.83618,1.10205,0.00851557,0.00851557,0.00851557
77,12984.3,1.49014,2.11677,1.41274,0.43764,0.38042,0.34795,0.18,1.15111,6.88447,1.10101,0.00849578,0.00849578,0.00849578
78,13152.9,1.47831,2.10427,1.41087,0.43807,0.38202,0.34875,0.18031,1.15037,6.90428,1.10051,0.00847599,0.00847599,0.00847599
79,13321,1.48318,2.10887,1.41149,0.43583,0.38445,0.34967,0.18058,1.15024,6.93556,1.1002,0.00845619,0.00845619,0.00845619
80,13486.3,1.4854,2.11372,1.41058,0.43516,0.38273,0.34922,0.18072,1.14995,6.94971,1.09988,0.0084364,0.0084364,0.0084364
81,13653.1,1.48416,2.11079,1.41056,0.43467,0.38241,0.34993,0.18087,1.14903,6.95489,1.09901,0.00841661,0.00841661,0.00841661
82,13818.6,1.47885,2.11656,1.40985,0.43682,0.38173,0.35041,0.18116,1.14829,6.97688,1.09873,0.00839682,0.00839682,0.00839682
83,13988.3,1.47397,2.09484,1.40469,0.43762,0.38177,0.35071,0.18131,1.14804,6.96542,1.09866,0.00837702,0.00837702,0.00837702
84,14156.5,1.47404,2.10216,1.40626,0.44026,0.38259,0.35218,0.18152,1.14783,6.9648,1.09798,0.00835723,0.00835723,0.00835723
85,14325.8,1.47811,2.10245,1.40403,0.44008,0.38408,0.35348,0.18201,1.14744,6.95225,1.09799,0.00833744,0.00833744,0.00833744
86,14493.5,1.47455,2.08483,1.39931,0.44286,0.38334,0.35379,0.18195,1.14712,6.9097,1.09732,0.00831765,0.00831765,0.00831765
87,14663,1.46733,2.07991,1.40234,0.43934,0.38601,0.3545,0.18212,1.14625,6.87699,1.097,0.00829785,0.00829785,0.00829785
88,14831.9,1.47132,2.08224,1.40209,0.44295,0.38376,0.35493,0.1824,1.14599,6.86585,1.09679,0.00827806,0.00827806,0.00827806
89,15000,1.47505,2.09368,1.40006,0.44572,0.38387,0.35562,0.18316,1.14612,6.84888,1.09665,0.00825827,0.00825827,0.00825827
90,15168.3,1.45672,2.07523,1.39334,0.44293,0.3841,0.35558,0.18321,1.14551,6.82495,1.0963,0.00823848,0.00823848,0.00823848
91,15338.3,1.45825,2.06377,1.39503,0.44163,0.38534,0.35591,0.18376,1.14508,6.79796,1.09609,0.00821868,0.00821868,0.00821868
92,15505.3,1.46713,2.06901,1.39908,0.44283,0.38606,0.356,0.18405,1.14418,6.76472,1.09559,0.00819889,0.00819889,0.00819889
93,15672.8,1.45204,2.05676,1.3869,0.44138,0.38748,0.35588,0.18393,1.14346,6.73405,1.09492,0.0081791,0.0081791,0.0081791
94,15840.9,1.45264,2.04756,1.39033,0.44239,0.38708,0.35616,0.18453,1.14294,6.7122,1.09452,0.00815931,0.00815931,0.00815931
95,16011.2,1.45358,2.04523,1.38642,0.43958,0.38815,0.35663,0.18486,1.14221,6.68072,1.09433,0.00813951,0.00813951,0.00813951
96,16179.4,1.45809,2.05822,1.3879,0.44235,0.38743,0.35765,0.18567,1.14224,6.65381,1.09426,0.00811972,0.00811972,0.00811972
97,16348.7,1.45913,2.06039,1.39253,0.44165,0.38769,0.35748,0.18547,1.14226,6.63392,1.09372,0.00809993,0.00809993,0.00809993
98,16517.1,1.447,2.03884,1.37676,0.44309,0.38672,0.35792,0.18556,1.14266,6.60297,1.09387,0.00808014,0.00808014,0.00808014
99,16686.7,1.44703,2.03544,1.38129,0.44539,0.38813,0.35888,0.1857,1.14267,6.56788,1.09342,0.00806034,0.00806034,0.00806034
100,16851.8,1.45487,2.04188,1.38076,0.45024,0.38654,0.35913,0.18582,1.14266,6.53081,1.09335,0.00804055,0.00804055,0.00804055
