epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5202.78,1.83284,2.05563,1.49713,0.47987,0.35607,0.34687,0.18701,1.44617,6.3522,1.2163,0.0091882,0.0091882,0.0091882
43,5325.11,1.8338,2.05149,1.49926,0.47861,0.35658,0.34769,0.18756,1.44528,6.37919,1.21553,0.0091684,0.0091684,0.0091684
44,5447.56,1.8336,2.04961,1.4901,0.47535,0.3599,0.3483,0.18813,1.44245,6.35857,1.21387,0.0091486,0.0091486,0.0091486
45,5569.86,1.82126,2.04302,1.48735,0.4767,0.36056,0.34972,0.18887,1.44087,6.39484,1.21236,0.0091288,0.0091288,0.0091288
46,5692.61,1.82442,2.04656,1.49073,0.47846,0.36309,0.35139,0.18989,1.43872,6.38173,1.21033,0.009109,0.009109,0.009109
47,5815.59,1.81634,2.03514,1.48314,0.47694,0.36235,0.35133,0.19002,1.43767,6.41378,1.20954,0.0090892,0.0090892,0.0090892
48,5938.3,1.81293,2.02611,1.47837,0.4789,0.36197,0.35143,0.19045,1.43657,6.40841,1.20828,0.0090694,0.0090694,0.0090694
49,6060.35,1.81074,2.02774,1.48215,0.48335,0.36196,0.35199,0.19101,1.43631,6.38211,1.2077,0.0090496,0.0090496,0.0090496
50,6182.63,1.81184,2.02142,1.4771,0.48436,0.36026,0.35302,0.19134,1.43514,6.37389,1.20649,0.0090298,0.0090298,0.0090298
51,6305.58,1.8136,2.01906,1.47726,0.48499,0.36079,0.35368,0.19187,1.43434,6.38125,1.20532,0.00901,0.00901,0.00901
52,6429.22,1.80359,2.01975,1.47358,0.48852,0.35858,0.35454,0.19224,1.43323,6.39153,1.20497,0.0089902,0.0089902,0.0089902
53,6552.21,1.8088,2.01139,1.47052,0.48744,0.35878,0.35472,0.1928,1.43205,6.41466,1.20445,0.0089704,0.0089704,0.0089704
54,6675.35,1.80325,2.00256,1.46969,0.48868,0.35912,0.35537,0.19298,1.4314,6.41972,1.20395,0.0089506,0.0089506,0.0089506
55,6798.52,1.8056,2.01008,1.4689,0.49014,0.35837,0.35573,0.19327,1.43023,6.41425,1.20329,0.0089308,0.0089308,0.0089308
56,6921.93,1.80034,1.99896,1.46479,0.49182,0.35972,0.35665,0.19353,1.42852,6.414,1.20237,0.008911,0.008911,0.008911
57,7044.84,1.79763,2.00317,1.46191,0.48967,0.36108,0.35768,0.19442,1.42713,6.40783,1.20159,0.0088912,0.0088912,0.0088912
58,7168.37,1.79183,1.9865,1.45673,0.49226,0.35991,0.35766,0.19471,1.42563,6.40758,1.20054,0.0088714,0.0088714,0.0088714
59,7292.19,1.79358,1.98238,1.45768,0.49272,0.3607,0.35821,0.19527,1.42465,6.40098,1.1997,0.0088516,0.0088516,0.0088516
60,7414.72,1.79084,1.983,1.45414,0.4934,0.36044,0.3581,0.19541,1.42359,6.38681,1.19852,0.0088318,0.0088318,0.0088318
61,7537.32,1.79551,1.98587,1.46101,0.49313,0.36094,0.35903,0.1961,1.42283,6.37473,1.19803,0.008812,0.008812,0.008812
62,7660.59,1.78902,1.97346,1.45536,0.49229,0.36281,0.36031,0.19659,1.42207,6.35525,1.1973,0.0087922,0.0087922,0.0087922
63,7783.48,1.78623,1.97524,1.45753,0.49333,0.36443,0.36096,0.19677,1.42136,6.34993,1.19674,0.0087724,0.0087724,0.0087724
64,7905.59,1.78061,1.96818,1.44854,0.49014,0.36592,0.36117,0.19721,1.42053,6.35708,1.19591,0.0087526,0.0087526,0.0087526
65,8028.07,1.77888,1.96583,1.44878,0.49087,0.36686,0.36233,0.1979,1.41967,6.34649,1.19507,0.0087328,0.0087328,0.0087328
66,8150.89,1.78634,1.97134,1.44785,0.49069,0.36659,0.36224,0.1981,1.41888,6.33103,1.19428,0.008713,0.008713,0.008713
67,8273.68,1.77981,1.96229,1.44718,0.4926,0.3681,0.3633,0.19854,1.41802,6.31896,1.19341,0.0086932,0.0086932,0.0086932
68,8396.3,1.77435,1.95096,1.4369,0.4933,0.36689,0.36356,0.19882,1.41755,6.32468,1.19272,0.0086734,0.0086734,0.0086734
69,8518.9,1.78116,1.96505,1.44682,0.49459,0.36807,0.36424,0.19904,1.41652,6.31362,1.19157,0.0086536,0.0086536,0.0086536
70,8642.2,1.7742,1.95167,1.44399,0.49213,0.3688,0.36439,0.19941,1.41555,6.30015,1.19058,0.0086338,0.0086338,0.0086338
71,8764.7,1.77826,1.9559,1.44357,0.49151,0.36871,0.36499,0.19963,1.41486,6.29161,1.18961,0.008614,0.008614,0.008614
72,8887.99,1.76843,1.94527,1.43933,0.48864,0.37073,0.36562,0.20023,1.41412,6.27937,1.1887,0.0085942,0.0085942,0.0085942
73,9010.07,1.76335,1.92847,1.43163,0.48908,0.36883,0.36625,0.20055,1.41344,6.27365,1.18791,0.0085744,0.0085744,0.0085744
74,9133.43,1.76468,1.93582,1.43714,0.4885,0.36885,0.36692,0.20085,1.41256,6.27479,1.18697,0.0085546,0.0085546,0.0085546
75,9256.13,1.75897,1.92831,1.43239,0.48634,0.37152,0.36758,0.20117,1.41182,6.27421,1.18617,0.0085348,0.0085348,0.0085348
76,9378.25,1.76381,1.92066,1.43645,0.48841,0.37249,0.36825,0.20141,1.41133,6.26526,1.18553,0.008515,0.008515,0.008515
77,9501.19,1.7634,1.93336,1.43273,0.4885,0.37329,0.36849,0.20203,1.41079,6.24689,1.18512,0.0084952,0.0084952,0.0084952
78,9624.16,1.76913,1.93474,1.43604,0.49119,0.37138,0.36911,0.20261,1.41021,6.22978,1.18445,0.0084754,0.0084754,0.0084754
79,9747.04,1.7559,1.91482,1.42599,0.48918,0.3732,0.36932,0.20281,1.41032,6.22334,1.18389,0.0084556,0.0084556,0.0084556
80,9870.21,1.75555,1.91719,1.42679,0.48954,0.3749,0.3705,0.2035,1.41011,6.2212,1.1834,0.0084358,0.0084358,0.0084358
81,9993.12,1.76202,1.91125,1.42905,0.4913,0.37413,0.37112,0.20377,1.40952,6.20529,1.18235,0.008416,0.008416,0.008416
82,10116.5,1.74933,1.90229,1.41797,0.49411,0.37351,0.37207,0.20421,1.40883,6.18879,1.18161,0.0083962,0.0083962,0.0083962
83,10239.6,1.75696,1.91071,1.42197,0.49131,0.3752,0.37242,0.20427,1.40823,6.17115,1.1808,0.0083764,0.0083764,0.0083764
